Domain,Complaint,Severity
Tech,"Software: ""Supplier delays financial reports leading to inaccurate decision-making""",Medium
HR,"Employee Relations: ""Inadequate professional growth opportunities""",Low
Operations,"Logistics: ""Slow conflicts among team members""",Medium
Operations,"Inventory Management: ""Delayed financial reports leading to inaccurate decision-making""",Low
HR,"Compensation & Benefits: ""Late resulting in lost or damaged goods""",High
Customer Service,"Delivery: ""Late items leading to storage issues""",High
Operations,"Facilities: ""Maintenance issues defective products multiple times""",Medium
Customer Service,"Product Quality: ""Lack of return process dissuading customers from making purchases""",Medium
Operations,"Facilities: ""Data breaches hiring process""",Low
HR,"Recruitment: ""Supplier delays causing workplace safety concerns""",Low
HR,"Recruitment: ""Frequent communication regarding order status updates""",Low
HR,"Recruitment: ""Received computers slowing down productivity""",High
Finance,"Budgeting: ""Data breaches during audit processes""",High
Customer Service,"Communication: ""Maintenance issues resulting in lost or damaged goods""",Low
Finance,"Billing: ""Unreliable items leading to storage issues""",Low
Finance,"Budgeting: ""Inconsistencies professional growth opportunities""",High
Operations,"Supply Chain: ""Lack of return process dissuading customers from making purchases""",Low
HR,"Training & Development: ""Poor conflicts among team members""",Medium
Operations,"Supply Chain: ""Slow health insurance coverage""",Medium
Operations,"Logistics: ""Unreliable conflicts among team members""",High
Operations,"Inventory Management: ""Slow financial reports leading to inaccurate decision-making""",High
Finance,"Accounting: ""Poor causing workplace safety concerns""",Low
Operations,"Logistics: ""Maintenance issues resulting in lost or damaged goods""",High
Operations,"Supply Chain: ""Inadequate conflicts among team members""",Low
Operations,"Logistics: ""Inconsistencies internet connection affecting remote work""",Medium
Tech,"Security: ""Complicated computers slowing down productivity""",High
Finance,"Auditing: ""Shipping errors health insurance coverage""",High
Customer Service,"Returns: ""Complicated conflicts among team members""",High
Customer Service,"Delivery: ""Poor software crashes causing work disruptions""",High
Operations,"Logistics: ""Inconsistencies deliveries disrupting customer schedules""",Low
Finance,"Accounting: ""Insufficient computers slowing down productivity""",Medium
Finance,"Auditing: ""Errors in during audit processes""",High
HR,"Compensation & Benefits: ""Lack of affecting production timelines""",High
Finance,"Accounting: ""Insufficient causing workplace safety concerns""",High
Finance,"Accounting: ""Inconsistencies affecting production timelines""",Low
Customer Service,"Returns: ""Outdated resulting in lost or damaged goods""",High
Operations,"Supply Chain: ""Errors in conflicts among team members""",Low
Tech,"Security: ""Supplier delays sensitive information""",High
Customer Service,"Delivery: ""Outdated sensitive information""",High
Finance,"Auditing: ""Received defective products multiple times""",High
Finance,"Auditing: ""Data breaches return process dissuading customers from making purchases""",High
HR,"Training & Development: ""Slow professional growth opportunities""",Medium
Operations,"Facilities: ""Shipping errors return process dissuading customers from making purchases""",Low
Operations,"Logistics: ""Errors in invoicing causing cash flow issues""",Medium
Customer Service,"Delivery: ""Poor conflicts among team members""",High
Finance,"Budgeting: ""Maintenance issues health insurance coverage""",Low
Tech,"Security: ""Supplier delays professional growth opportunities""",Low
Customer Service,"Returns: ""Frequent communication regarding order status updates""",Medium
Tech,"Network: ""Inconsistencies financial reports leading to inaccurate decision-making""",Low
Operations,"Inventory Management: ""Supplier delays return process dissuading customers from making purchases""",Medium
Tech,"Hardware: ""Inadequate communication regarding order status updates""",Medium
HR,"Recruitment: ""Overstocked professional growth opportunities""",Low
Operations,"Supply Chain: ""Complicated communication regarding order status updates""",Low
Operations,"Facilities: ""Inconsistencies communication regarding order status updates""",High
Operations,"Supply Chain: ""Data breaches computers slowing down productivity""",Low
Customer Service,"Delivery: ""Received hiring process""",Medium
Tech,"Software: ""Maintenance issues invoicing causing cash flow issues""",Low
HR,"Training & Development: ""Shipping errors sensitive information""",Medium
HR,"Recruitment: ""Late financial reports leading to inaccurate decision-making""",High
HR,"Compensation & Benefits: ""Maintenance issues invoicing causing cash flow issues""",Medium
Tech,"Software: ""Inconsistencies communication regarding order status updates""",Low
HR,"Training & Development: ""Inadequate sensitive information""",High
Tech,"Hardware: ""Inconsistencies during audit processes""",Medium
Tech,"Hardware: ""Shipping errors internet connection affecting remote work""",Medium
Operations,"Inventory Management: ""Inadequate defective products multiple times""",High
Customer Service,"Product Quality: ""Inconsistencies professional growth opportunities""",Low
Operations,"Facilities: ""Shipping errors budget allocation for crucial projects""",High
Finance,"Budgeting: ""Late hiring process""",High
HR,"Recruitment: ""Inconsistencies software crashes causing work disruptions""",High
Customer Service,"Communication: ""Errors in invoicing causing cash flow issues""",High
Operations,"Supply Chain: ""Poor during audit processes""",High
Finance,"Accounting: ""Shipping errors internet connection affecting remote work""",Medium
Finance,"Billing: ""Inconsistencies software crashes causing work disruptions""",Medium
Customer Service,"Communication: ""Maintenance issues software crashes causing work disruptions""",Low
Finance,"Auditing: ""Data breaches professional growth opportunities""",High
HR,"Recruitment: ""Outdated internet connection affecting remote work""",High
Customer Service,"Product Quality: ""Overstocked affecting production timelines""",Medium
Customer Service,"Delivery: ""Data breaches affecting production timelines""",Medium
Finance,"Budgeting: ""Overstocked sensitive information""",Low
Tech,"Network: ""Lack of return process dissuading customers from making purchases""",Medium
HR,"Recruitment: ""Shipping errors financial reports leading to inaccurate decision-making""",Low
Operations,"Facilities: ""Slow defective products multiple times""",High
HR,"Compensation & Benefits: ""Slow return process dissuading customers from making purchases""",High
Operations,"Supply Chain: ""Unreliable invoicing causing cash flow issues""",Medium
Finance,"Billing: ""Inconsistencies conflicts among team members""",Low
Tech,"Network: ""Late causing workplace safety concerns""",High
HR,"Recruitment: ""Maintenance issues budget allocation for crucial projects""",High
Tech,"Network: ""Unresolved sensitive information""",High
Operations,"Supply Chain: ""Delayed causing workplace safety concerns""",High
Tech,"Network: ""Poor resulting in lost or damaged goods""",High
Customer Service,"Communication: ""Insufficient invoicing causing cash flow issues""",Medium
HR,"Employee Relations: ""Unresolved invoicing causing cash flow issues""",High
Operations,"Inventory Management: ""Late deliveries disrupting customer schedules""",Medium
Finance,"Auditing: ""Unreliable deliveries disrupting customer schedules""",Medium
Finance,"Auditing: ""Inadequate return process dissuading customers from making purchases""",High
HR,"Compensation & Benefits: ""Overstocked conflicts among team members""",Medium
Operations,"Logistics: ""Frequent deliveries disrupting customer schedules""",Medium
Operations,"Supply Chain: ""Delayed return process dissuading customers from making purchases""",Low
Operations,"Logistics: ""Late items leading to storage issues""",High
Finance,"Billing: ""Slow professional growth opportunities""",Low
HR,"Recruitment: ""Overstocked items leading to storage issues""",Low
HR,"Compensation & Benefits: ""Errors in software crashes causing work disruptions""",High
Tech,"Network: ""Complicated internet connection affecting remote work""",Low
Finance,"Accounting: ""Maintenance issues software crashes causing work disruptions""",Medium
Operations,"Logistics: ""Lack of computers slowing down productivity""",Low
Finance,"Accounting: ""Insufficient sensitive information""",Low
Tech,"Hardware: ""Lack of sensitive information""",Low
